表題：,都道府県・市区町村のすがた（社会・人口統計体系）,,,,,,,
公開日：,2022年6月21日,,,,,,,
,,,,,,,,
***,調査又は集計していないもの,,,,,,,
-,データが得られないもの,,,,,,,
X,数値が秘匿されているもの,,,,,,,
,,,,,,,,
,,,,/項目 コード,C120110,,C120120,
調査年 コード,調査年,地域 コード,地域,/項目,C120110_課税対象所得【千円】,注釈,C120120_納税義務者数（所得割）【人】,注釈
2020100000,2020年度,4445,宮城県 加美町,,24517466,,9522,
2020100000,2020年度,4501,宮城県 涌谷町,,15597551,,6458,
2020100000,2020年度,4505,宮城県 美里町,,27231252,,10471,
2020100000,2020年度,4581,宮城県 女川町,,8349604,,2593,
2020100000,2020年度,4606,宮城県 南三陸町,,13175089,,5002,
2020100000,2020年度,5201,秋田県 秋田市,,419006136,,141030,
2020100000,2020年度,5202,秋田県 能代市,,54991356,,21199,
2020100000,2020年度,5203,秋田県 横手市,,93843943,,35732,
2020100000,2020年度,5204,秋田県 大館市,,78604573,,30554,
2020100000,2020年度,5206,秋田県 男鹿市,,23921597,,9949,
2020100000,2020年度,5207,秋田県 湯沢市,,40959891,,17108,
2020100000,2020年度,5209,秋田県 鹿角市,,29787710,,12392,
2020100000,2020年度,5210,秋田県 由利本荘市,,83086405,,32185,
2020100000,2020年度,5211,秋田県 潟上市,,33645587,,13561,
2020100000,2020年度,5212,秋田県 大仙市,,83416622,,32731,
2020100000,2020年度,5213,秋田県 北秋田市,,29771026,,12152,
2020100000,2020年度,5214,秋田県 にかほ市,,28373429,,10342,
2020100000,2020年度,5215,秋田県 仙北市,,23322112,,9680,
2020100000,2020年度,5303,秋田県 小坂町,,4889450,,1901,
2020100000,2020年度,5327,秋田県 上小阿仁村,,1696927,,801,
2020100000,2020年度,5346,秋田県 藤里町,,2437289,,1111,
2020100000,2020年度,5348,秋田県 三種町,,15076577,,6292,
2020100000,2020年度,5349,秋田県 八峰町,,6000563,,2586,
2020100000,2020年度,5361,秋田県 五城目町,,8027707,,3332,
2020100000,2020年度,5363,秋田県 八郎潟町,,5510574,,2231,
2020100000,2020年度,5366,秋田県 井川町,,4410284,,1765,
2020100000,2020年度,5368,秋田県 大潟村,,6340321,,1737,
2020100000,2020年度,5434,秋田県 美郷町,,18180024,,7685,
2020100000,2020年度,5463,秋田県 羽後町,,12945822,,5471,
2020100000,2020年度,5464,秋田県 東成瀬村,,2066120,,952,
2020100000,2020年度,6201,山形県 山形市,,364741693,,116289,
2020100000,2020年度,6202,山形県 米沢市,,100366975,,36304,
2020100000,2020年度,6203,山形県 鶴岡市,,149739273,,56688,
2020100000,2020年度,6204,山形県 酒田市,,123545073,,46028,
2020100000,2020年度,6205,山形県 新庄市,,44417496,,15685,
2020100000,2020年度,6206,山形県 寒河江市,,49998028,,18672,
2020100000,2020年度,6207,山形県 上山市,,32586882,,13064,
2020100000,2020年度,6208,山形県 村山市,,25938431,,9947,
2020100000,2020年度,6209,山形県 長井市,,32443113,,12237,
2020100000,2020年度,6210,山形県 天童市,,78881873,,28442,
2020100000,2020年度,6211,山形県 東根市,,61456864,,22175,
2020100000,2020年度,6212,山形県 尾花沢市,,16289235,,6287,
2020100000,2020年度,6213,山形県 南陽市,,39632496,,13990,
2020100000,2020年度,6301,山形県 山辺町,,16270220,,6279,
2020100000,2020年度,6302,山形県 中山町,,12868875,,5033,
2020100000,2020年度,6321,山形県 河北町,,21344542,,8183,
2020100000,2020年度,6322,山形県 西川町,,5170509,,2106,
2020100000,2020年度,6323,山形県 朝日町,,6193548,,2582,
2020100000,2020年度,6324,山形県 大江町,,8339806,,3344,
2020100000,2020年度,6341,山形県 大石田町,,7037800,,2692,
2020100000,2020年度,6361,山形県 金山町,,5191016,,2176,
2020100000,2020年度,6362,山形県 最上町,,8469457,,3303,
2020100000,2020年度,6363,山形県 舟形町,,5151692,,2086,
2020100000,2020年度,6364,山形県 真室川町,,7168614,,2961,
2020100000,2020年度,6365,山形県 大蔵村,,3126551,,1335,
2020100000,2020年度,6366,山形県 鮭川村,,4243123,,1679,
